pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomH	online	lapq	npf	blank	3	1.8943 ± 0.1060
mix_gen	online	lapq	hybrid	blank	2	1.8949 ± 0.0752
randomH	online	lapq	dedup	online	2	1.8953 ± 0.0749
mix_all	false	lapq	dedup	online	2	1.8954 ± 0.1485
mix_all	online	lapq	npf	offline	3	1.8956 ± 0.0892
mix_gen	online	lapq	ob	blank	3	1.8958 ± 0.0684
mix_all	online	lapq	hybrid	blank	3	1.8975 ± 0.0835
mix_all	online	lapq	ob	offline	3	1.8975 ± 0.0805
mix_gen	online	lapq	ob	online	2	1.8986 ± 0.0603
randomH	online	lapq	npf	offline	2	1.8988 ± 0.1694
